title,job_family,company,location,region,salary,employment_type,url,description,source,date_found,active,required_experience,degree_requirement,required_languages,matched_skills,missing_skills,match_score,match_reason,hard_filter_status,hard_filter_reason
BI Developer,BI / Power BI,Smals,,,,,https://www.smals.be/nl/jobs/apply/7281/bi-developer,"Onze website gebruikt cookies om de site gebruiksvriendelijker te maken. Meer weten Doorgaan Skip to main content NL Nederlands Français BI Developer Solliciteren Functiebeschrijving Als Business Intelligence Developer draag je bij tot het beheer, de ondersteuning en de voortdurende ontwikkeling van onze BI-omgeving. Je ontwerpt en ontwikkelt ETL-processen in Informatica PowerCenter, inclusief het aanmaken van nieuwe mappings en workflows. In dit kader zorg je voor het beheer en de optimalisatie van ons datawarehouse (PostgreSQL) en ontwikkel je rapportageoplossingen in Cognos en Power BI. Je draagt bij aan de migratie van bestaande Cognos-rapporten naar Power BI en ontwikkelt nieuwe rapportage- en dashboardoplossingen ter ondersteuning van de activiteiten van de organisatie. Profiel Je hebt een bachelordiploma in IT en beschikt over minimaal 3 jaar ervaring in de ontwikkeling van Business Intelligence. Je hebt praktische ervaring met de volgende technologieën: - Geavanceerde SQL (bij voorkeur PostgreSQL) Power BI: Desktop en Service, data modeling, Power Query ETL-processen: Informatica PowerCenter Data warehousing Ervaring met of kennis van de volgende technologieën wordt als een pluspunt beschouwd: Cognos (migratie van Cognos-rapporten naar Power BI) Power BI Report Builder Jira, Confluence, Git Je beschikt over uitstekende probleemoplossende vaardigheden en bent in staat om zelfstandig te werken. Je bent in staat om je kennis effectief te delen en andere medewerkers op te leiden. Ten slotte heb je uitstekende communicatieve vaardigheden in het Frans of Nederlands, evenals in het Engels. Aanbod Je krijgt een gevarieerde, uitdagende en maatschappelijk relevante job waarbij je bijdraagt aan IT-oplossingen die een belangrijke rol spelen in de samenleving. Onze slogan 'ICT for society' weerspiegelt dit perfect. Zoek je een goede balans tussen werk en privéleven? Geniet van flexibele werkuren en maak gebruik van ons zeer uitgebreid telewerkbeleid . We bieden ruime interne en externe opleidingsmogelijkheden, waardoor je je technische skills en persoonlijke vaardigheden voortdurend kunt aanscherpen. We bieden je een competitief salaris, aangevuld met extralegale voordelen zoals hospitalisatieverzekering, aanvullend pensioenplan, maaltijdcheques, ecocheques,… IT-functies kunnen rekenen op een mobiliteitsbudget met de keuze voor een bedrijfswagen en/of terugbetaling openbaar vervoer. Onder bepaalde voorwaarden kan je dit budget zelfs gebruiken voor de betaling van je huur of hypothecaire lening. Via ons 'Benefits at Work'-platform geniet je van mooie kortingen op mode, elektronica, daguitstappen, vakantieverblijven, … We voeren een gelijkekansenbeleid en vinden o.a. equal pay belangrijk. Solliciteren IT - Development .Net & Blazor Software Developer .Net Developer .NET Integration Developer Azure DevOps Engineer (.Net) Backend .Net Developer Java-Angular Developer Kotlin Developer Senior .Net Developer Senior Java Developer Search modal Zoeken",smals_web,2026-09-25T15:23:23.874431+00:00,True,3,Bachelor's degree,"Dutch, French, English","sql, power bi, etl, datawarehouse, cognos, data modeling",informatica,85,"BI / Power BI; matched: sql, power bi, etl, datawarehouse, cognos, data modeling; potential gaps: informatica; requires 3+ years; Bachelor's degree",passed,
SAP Master Data Specialist – S/4HANA & Business Partners,Data Governance / Quality,Pauwels Consulting,"1070, Anderlecht, Brussels-Capital, Belgium",,,"employee, freelance",https://www.pauwelsconsulting.com/job/4a812904-e509-41c7-85cc-047f936d4562/sap-master-data-specialist-s4hana-business-partners,"Our client, a prominent organization in the transportation sector, is seeking a specialist to manage data quality and master data processes within their ERP landscape. The role focuses on ensuring data integrity and optimizing mass processing workflows for a large-scale project. Manage data quality within the SAP environment, focusing on consolidation and mass processing. Execute duplicate cleansing activities to maintain high data integrity standards. Configure and set up SAP Business Partners throughout the project lifecycle. Handle complex data processing tasks to support S/4HANA operations. Collaborate with the project team to ensure successful technical implementation of data solutions. You have 3+ years of hands-on experience working with SAP S/4HANA . You possess proven experience in the setup of SAP Business Partners within at least one full project lifecycle. You bring technical expertise in SAP data quality management, specifically in consolidation and mass processing. You're experienced in duplicate cleansing and maintaining data consistency across ERP systems. Start date: 26/10/2026 Duration: Until 30/09/2027 Work regime: Full-time Location: Brussels Contract: open to both permanent employees and freelancers",pauwels_consulting_web,2026-09-25T15:23:23.874431+00:00,True,3,not specified,,data quality,,76,Data Governance / Quality; matched: data quality; requires 3+ years; Brussels area,passed,
Data Analist,Data Analyst,Pauwels Consulting,"8000, West Flanders, Belgium",,,employee,https://www.pauwelsconsulting.com/job/5f42d6f8-2049-4e35-b64a-67eb7a2af001/data-analist,"Onze klant, een vooraanstaande en mensgerichte organisatie, is op zoek naar een Data Analist om complexe gegevens om te zetten in strategische inzichten. In deze rol krijg je de kans om een cruciale bijdrage te leveren aan de segmentstrategieën en de dienstverlening continu te verbeteren door middel van geavanceerde analyses. Als schakel tussen de business en engineering capteer je de specifieke behoeften van diverse klantensegmenten en vertaal je deze naar waardevolle inzichten. Je werkt hierbij nauw samen met BI-developers, data-architecten en stewards. Beheren en prioriteren van de analytics roadmap met oog voor budget, security, GDPR en technische haalbaarheid. Ontwerpen, implementeren en testen van analysetechnieken voor grote hoeveelheden data om trends te identificeren. Garanderen van de datakwaliteit en betrouwbaarheid door de naleving van datastandaarden en protocollen. Ontwikkelen en actualiseren van diverse dataproducten ter ondersteuning van de strategische besluitvorming. Analyseren van de markt en relevante trends om advies uit te brengen over technologische innovaties en digitale vernieuwing. 3+ jaar ervaring in operationeel management met een sterke focus op data-analyse en procesoptimalisatie. Expertise in het bouwen van semantische modellen en dashboards in Power BI . Gevorderde kennis van DAX voor het vertalen van complexe logica naar heldere rapportages. Ervaring met het verkennen van brondata en het monitoren van prestaties op basis van trends. Je bent een proactieve bruggenbouwer met sterke communicatieve vaardigheden voor stakeholder management. Je beschikt over een commerciële mindset en een kritische, analytische blik. Je bent veranderingsgericht en vindt vlot je weg in een dynamische en vooruitstrevende werkomgeving. Affiniteit met digitale innovatie en technologische nieuwigheden. Contract: Vast contract. Omgeving: Een dynamische en vooruitstrevende werkomgeving waar digitale innovatie centraal staat. Atmosphere: Professionele organisatie met een sterke focus op kwalitatieve dienstverlening en samenwerking.",pauwels_consulting_web,2026-09-25T15:23:23.874431+00:00,True,,not specified,,power bi,,67,Data Analyst; matched: power bi; outside preferred Brussels area,passed,
Data Engineer Health Sector,Data Engineering (stretch),Smals,,,,,https://www.smals.be/nl/jobs/apply/7050/data-engineer-health-sector,"Onze website gebruikt cookies om de site gebruiksvriendelijker te maken. Meer weten Doorgaan Skip to main content NL Nederlands Français Data Engineer Health Sector Solliciteren Functiebeschrijving Als Data Engineer Health Sector maak je deel uit van het Data Office, waar multidisciplinaire Agile-teams werken (Data Engineer, Projectleiders, Data Architects, specialisten in Data Governance en Data Quality, AI-experts, enz.). Je ontwikkelt analytische oplossingen (datawarehouses en datamarts) volgens de Kimball-methodologie, met behulp van de Microsoft-stack (SSIS / SSAS) en Azure Databricks. Rol en verantwoordelijkheden: - BI-oplossingen ontwerpen, bouwen, implementeren en onderhouden volgens de standaarden, functionele en niet-functionele vereisten (prestaties, gegevensvolume), in samenwerking met de Data Architecten. - De analytische oplossing testen, de troubleshooting uitvoeren, zorgen voor het onderhoud en adequate technische documentatie leveren. - De gevraagde visuals en rapporten in Power BI of SSRS maken. - De prototypes reviewen, demo's geven en de gebruikers opleiden in het gebruik van datamodellen. - Samenwerken met de projectleider gedurende het project om ervoor te zorgen dat de oplossing op een Agile en pragmatische manier opgeleverd wordt. Profiel Je behaalde een masterdiploma in de Informatica of hebt een gelijkwaardige ervaring en minstens 3 jaar ervaring als Data Engineer op de Microsoft BI-stack (Visual Studio, SSIS, SSAS, SSMS, SSRS, Power BI, SQL Server, ...). Ervaring met Azure Databricks en Python is een troef. Je hebt bovendien een ruime ervaring met het ontwerpen van datawarehouses (Kimball dimensionale modellering) en bij voorkeur ervaring met Agile-projecten. Je combineert een proactieve houding met een zeer goed verantwoordelijkheidsgevoel en autonomie. Je beschikt over sterke probleemoplossende vaardigheden, hebt een pragmatische aanpak en bent resultaatgericht. Je bent een goede teamspeler, volhardend, stressbestendig en flexibel. Je leert graag bij en geeft blijk van een open geest. Je beheerst bovendien beide landstalen. Aanbod Je krijgt een gevarieerde, uitdagende en maatschappelijk relevante job waarbij je bijdraagt aan IT-oplossingen die een belangrijke rol spelen in de samenleving. Onze slogan 'ICT for society' weerspiegelt dit perfect. Zoek je een goede balans tussen werk en privéleven? Geniet van flexibele werkuren en maak gebruik van ons zeer uitgebreid telewerkbeleid . We bieden ruime interne en externe opleidingsmogelijkheden, waardoor je je technische skills en persoonlijke vaardigheden voortdurend kunt aanscherpen. We bieden je een competitief salaris, aangevuld met extralegale voordelen zoals hospitalisatieverzekering, aanvullend pensioenplan, maaltijdcheques, ecocheques,… IT-functies kunnen rekenen op een mobiliteitsbudget met de keuze voor een bedrijfswagen en/of terugbetaling openbaar vervoer. Onder bepaalde voorwaarden kan je dit budget zelfs gebruiken voor de betaling van je huur of hypothecaire lening. Via ons 'Benefits at Work'-platform geniet je van mooie kortingen op mode, elektronica, daguitstappen, vakantieverblijven, … We voeren een gelijkekansenbeleid en vinden o.a. equal pay belangrijk. Solliciteren IT - Data Management Data Architect Data Quality Expert Data Solution Manager Program Manager Data Senior Data Analyst Search modal Zoeken",smals_web,2026-09-25T15:23:23.874431+00:00,True,3,technical degree or equivalent experience,"Dutch, French","sql, power bi, datawarehouse, data quality, data governance, python","databricks, informatica",64,"Data Engineering (stretch); matched: sql, power bi, datawarehouse, data quality, data governance, python; potential gaps: databricks, informatica; requires 3+ years; technical degree or equivalent experience",passed,
Senior Data Analist W-VL,Data Analyst,Pauwels Consulting,"8000, West Flanders, Belgium",,,employee,https://www.pauwelsconsulting.com/job/6e6feb2f-1897-496a-bfeb-020352d31ac5/senior-data-analist-w-vl,"Onze klant, een vooraanstaande en mensgerichte organisatie, is op zoek naar een Data Analist om complexe gegevens om te zetten in strategische inzichten. In deze rol krijg je de kans om een cruciale bijdrage te leveren aan de segmentstrategieën en de dienstverlening continu te verbeteren door middel van geavanceerde analyses. Als schakel tussen de business en engineering capteer je de specifieke behoeften van diverse klantensegmenten en vertaal je deze naar waardevolle inzichten. Je werkt hierbij nauw samen met BI-developers, data-architecten en stewards. Beheren en prioriteren van de analytics roadmap met oog voor budget, security, GDPR en technische haalbaarheid. Ontwerpen, implementeren en testen van analysetechnieken voor grote hoeveelheden data om trends te identificeren. Garanderen van de datakwaliteit en betrouwbaarheid door de naleving van datastandaarden en protocollen. Ontwikkelen en actualiseren van diverse dataproducten ter ondersteuning van de strategische besluitvorming. Analyseren van de markt en relevante trends om advies uit te brengen over technologische innovaties en digitale vernieuwing. 3+ jaar ervaring in operationeel management met een sterke focus op data-analyse en procesoptimalisatie. Expertise in het bouwen van semantische modellen en dashboards in Power BI . Gevorderde kennis van DAX voor het vertalen van complexe logica naar heldere rapportages. Ervaring met het verkennen van brondata en het monitoren van prestaties op basis van trends. Je bent een proactieve bruggenbouwer met sterke communicatieve vaardigheden voor stakeholder management. Je beschikt over een commerciële mindset en een kritische, analytische blik. Je bent veranderingsgericht en vindt vlot je weg in een dynamische en vooruitstrevende werkomgeving. Affiniteit met digitale innovatie en technologische nieuwigheden. Je kan 2 dagen per week werken op kantoor regio Brugge. De andere dagen werk je van thuis, of vanuit andere kantoren verspreid over Vlaanderen. Je krijgt een v ast contract onbepaalde duur inclusief aantrekkelijk pakket aan extralegale voordelen: bedrijfswagen, maaltijdcheques, verzekeringen, cafetariaplan, bonus... Je werkt 38u en krijgt 32 verlofdagen. Je komt terecht in e en dynamische en vooruitstrevende werkomgeving waar digitale innovatie centraal staat. Het gaat over een p rofessionele organisatie met een sterke focus op kwalitatieve dienstverlening en samenwerking. Er is veel aandacht voor een gezonde ""work life balance""",pauwels_consulting_web,2026-09-25T15:23:23.874431+00:00,True,,not specified,,power bi,,60,Data Analyst; matched: power bi; senior title; outside preferred Brussels area,passed,
Senior Functional Data Analyst – Business Intelligence & Strategy,Data Analyst,Pauwels Consulting,"8000, Brugge, West Flanders, Belgium",,,"employee, freelance",https://www.pauwelsconsulting.com/job/8c5110d4-213c-11f1-b591-ff07a0f56941/senior-functional-data-analyst-business-intelligence-strategy,"Our client, a leading organization in the professional services sector, is seeking a Functional Data Analyst to bridge the gap between business stakeholders and data engineering teams. This role involves translating complex business needs into actionable data products and strategic insights to drive digital innovation. The focus is on managing the analytics roadmap, ensuring data quality, and validating high-impact reporting solutions. Translate business needs into clear user stories, requirements, and acceptance criteria for data engineering teams. Design mockups and technical specifications for data products including dashboards, reports, and data flows. Manage the analytics roadmap by prioritizing initiatives based on technical feasibility, budget, security, and GDPR compliance. Execute User Acceptance Testing (UAT) to validate data products against functional requirements and group standards. Facilitate stakeholder workshops within business units to capture requirements and communicate project progress. Monitor and validate data quality in collaboration with data stewards to ensure reliable strategic reporting. You have 5+ years of experience in functional or data analysis within Business Intelligence environments. You bring professional experience using Power BI for report validation and dashboard specifications. You possess working knowledge of SQL for data validation and ad hoc querying. You have experience with Azure DevOps or Jira for user story management and agile sprint tracking. You're proficient in Confluence or SharePoint for documenting data definitions and business rules. You have knowledge of GDPR , data security, and scalability standards within data platforms. You bring a proactive analytical mindset with the ability to bridge business and technical teams. You are fluent in Dutch and English . Nice to Haves Experience with market trend analysis and digital innovation advisory. Familiarity with data modeling and architecture principles. Start date: ASAP Duration: project length Work regime: Full-time Location: Bruges Working model: Hybrid (minimum 2 days/week onsite) Contract: open to both permanent employees and freelancers",pauwels_consulting_web,2026-09-25T15:23:23.874431+00:00,True,5,not specified,"Dutch, English","sql, power bi, data quality, reporting, data modeling",scala,58,"Data Analyst; matched: sql, power bi, data quality, reporting, data modeling; potential gaps: scala; requires 5+ years; senior title; outside preferred Brussels area",passed,
Data Engineer Modern Data Platforms,Data Engineering (stretch),Capgemini,Search by Location,,,,https://careers.capgemini.com/job/Diegem-Data-Engineer-Modern-Data-Platforms/1378947233/,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve the website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies. Modify Cookie Preferences Reject Optional Cookies Accept All Cookies Skip to main content View Profile Employee Login View Profile Employee Login View Profile Employee Login Search by Keyword Search by Location Show More Options Loading... Country All Location All Grade All Professional Group All Clear Select how often (in days) to receive an alert: Create Alert × Select how often (in days) to receive an alert: Apply now » Apply now Apply Now Start applying with LinkedIn Start Please wait... Data Engineer Modern Data Platforms At Sogeti, we believe the best is inside every one of us. Whether you are early in your career or at the top of your game, we’ll encourage you to fulfill your potential to be better. Through our shared passion for technology, our entrepreneurial culture , and our focus on continuous learning, we’ll provide everything you need to do your best work and become the best you can be.​ YOUR ROLE You build and evolve modern cloud-based data platforms that enable analytics reporting and AI use cases. You work close to the data and close to the business to deliver scalable and reliable data solutions. Core responsibilities Design and develop data pipelines on modern cloud platforms Implement data ingestion transformation and data modeling patterns Ensure data quality performance and cost awareness in data solutions Collaborate with architects, analytics consultants and client teams Contribute to continuous improvement of data engineering practices Enable data availability and quality for advanced analytics and AI use cases YOUR PROFILE Must have: Strong experience as a data engineer on modern data platforms Hands on experience with Azure and Databricks Solid knowledge of SQL and data modeling concepts Professional working proficiency in English is required. Dutch and or French are a strong advantage. WHAT YOU'LL LOVE ABOUT WORKING HERE: At Sogeti Belgium we offer flexibility in more than one way: next to our hybrid way of working, where we offer you can work 70% from home, we also offer our flex abroad program. With this program you can work up to 45 days abroad, this to maintain a good work-life balance. Next to this we also offer following additional benefits: Net expenses Company car or mobility budget (whatever works best for you) Health insurance Meal vouchers Pension plan Eco vouchers from €250/year A flex plan where you can buy extra days off, update your insurance or buy home office supplies 32 vacation days Part of the Capgemini Group, Sogeti makes business value through technology for organizations that need to implement innovation at speed and want a local partner with global scale. With a hands-on culture and close proximity to its clients, Sogeti implements solutions that will help organizations work faster, better, and smarter. By combining its agility and speed of implementation through a DevOps approach, Sogeti delivers innovative solutions in quality engineering, cloud and application development, all driven by AI, data and automation.​ Ref. code: 447689 Posted on: 20 Sept 2026 Experience Level: Experienced Professionals Contract Type: Permanent Location: Diegem, BE Brand: Sogeti Professional Community: Data & AI Apply now » Apply now Apply Now Start applying with LinkedIn Start Please wait... Find similar jobs: All rights reserved by Capgemini. Copyright © 2025 × Cookie Consent Manager When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. Because we respect your right to privacy, you can choose not to allow some types of cookies. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. Required Cookies These cookies are required to use this website and can't be turned off. Required Cookies Show More Details Required Cookies Provider Description Enabled SAP as service provider We use the following session cookies, which are all required to enable the website to function: ""route"" is used for session stickiness ""careerSiteCompanyId"" is used to send the request to the correct data centre ""JSESSIONID"" is placed on the visitor's device during the session so the server can identify the visitor ""Load balancer cookie"" (actual cookie name may vary) prevents a visitor from bouncing from one instance to another Cookies from provider SAPasserviceprovider are required and cannot be turned off Advertising Cookies These cookies serve ads that are relevant to your interests. You may freely choose to accept or decline these cookies at any time. Note that certain functionality that these third parties make available may be impacted if you do not accept these cookies. Consent to all Advertising Cookies Show More Details Advertising Cookies Provider Description Enabled LinkedIn LinkedIn is an employment-oriented social networking service. We use the Apply with LinkedIn feature to allow you to apply for jobs using your LinkedIn profile. Opting out of LinkedIn cookies will disable your ability to use Apply with LinkedIn. Cookie Policy Cookie Table Privacy Policy Terms and Conditions Consent to cookies from provider LinkedIn Confirm My Choices Reject Optional Cookies Accept All Cookies",capgemini_web,2026-09-25T15:23:23.874431+00:00,True,,not specified,"Dutch, French, English","sql, data quality, reporting, data modeling","databricks, scala",57,"Data Engineering (stretch); matched: sql, data quality, reporting, data modeling; potential gaps: databricks, scala",passed,
Data Governance Lead - Data & AI,Data Governance / Quality,Cegeka,"At customer site, BE / Flexible, BE",,,Professional,https://www.cegeka.com/en/be/jobs/all-jobs/data-governance-lead-data-ai-7896,Data Governance Lead - Data & AI,cegeka_web,2026-09-25T15:23:23.874431+00:00,True,,not specified,,data governance,,55,Data Governance / Quality; matched: data governance; leadership title,passed,
Data Functional Analyst,Functional / Business Data Analysis,Smals,,,,,https://www.smals.be/nl/jobs/apply/6943/data-functional-analyst,"Onze website gebruikt cookies om de site gebruiksvriendelijker te maken. Meer weten Doorgaan Skip to main content NL Nederlands Français Data Functional Analyst Solliciteren Functiebeschrijving Als Data Functional Analyst maak je deel uit van het Data Office, waar multidisciplinaire agile-teams werken (Data Engineer, Project Leader, Data Architects, Data Governance- en Data Quality-specialisten, AI-Experts, enz.). Rol & verantwoordelijkheden - Gesprekken voeren met verschillende SME (Subject Matter Expert) om hun business behoeften te begrijpen. - Bedrijfsprocessen en operationele en analytische dataflows (inkomend en uitgaand) identificeren, evalueren en begrijpen. - De behoeften van de organisatie vertalen naar data en technische vereisten. - In samenwerking met de data-architecten datamodellen ontwerpen en valideren. - In samenwerking met het datagovernanceteam, de technische BI-verantwoordelijken en de IT-teams het functionele ontwerp van onze ontwikkelingen vaststellen. - In contact staan met de Data Protection Manager om de naleving van de GDPR en de gegevensbeveiliging te waarborgen. - Zorgen voor het testen van de ontwikkelde dataoplossingen. - Informeren en opleiden over datagerelateerde onderwerpen en het gebruik en de acceptatie van de ontwikkelde oplossingen stimuleren. Profiel Je hebt een master in IT of een gelijkwaardige ervaring en minstens 5 jaar ervaring in functionele data-analyse. Bovendien beschik je over concrete ervaring in het modelleren van datawarehouses (Kimball-aanpak). Ook heb je ervaring in het ontwerpen en analyseren van dataflows. Eerdere ervaring als data-engineer is een pluspunt. Je hebt minimaal 3 jaar concrete ervaring met MS on-premise stack (SQL Server, SSIS, SSAS, PowerBI). Ervaring met Azure Databricks is een pluspunt. Dankzij jouw uitstekende communicatieve en presentatievaardigheden kun je de behoeften van het bedrijf vertalen naar technische oplossingen. Je beschikt over goede conceptuele en commerciële vaardigheden. Je bent oplossingsgericht en dankzij jouw pragmatische aanpak kun je de nodige maatregelen nemen om de doelstellingen te bereiken. Je bent een goede teamspeler en kunt mensen verbinden rond een gemeenschappelijk doel. Je bent een doorzetter, stressbestendig en flexibel persoon, die graag leert en openstaat voor nieuwe ideeën. Je beheerst bovendien beide landstalen. Aanbod Je krijgt een gevarieerde, uitdagende en maatschappelijk relevante job waarbij je bijdraagt aan IT-oplossingen die een belangrijke rol spelen in de samenleving. Onze slogan 'ICT for society' weerspiegelt dit perfect. Zoek je een goede balans tussen werk en privéleven? Geniet van flexibele werkuren en maak gebruik van ons zeer uitgebreid telewerkbeleid . We bieden ruime interne en externe opleidingsmogelijkheden, waardoor je je technische skills en persoonlijke vaardigheden voortdurend kunt aanscherpen. We bieden je een competitief salaris, aangevuld met extralegale voordelen zoals hospitalisatieverzekering, aanvullend pensioenplan, maaltijdcheques, ecocheques,… IT-functies kunnen rekenen op een mobiliteitsbudget met de keuze voor een bedrijfswagen en/of terugbetaling openbaar vervoer. Onder bepaalde voorwaarden kan je dit budget zelfs gebruiken voor de betaling van je huur of hypothecaire lening. Via ons 'Benefits at Work'-platform geniet je van mooie kortingen op mode, elektronica, daguitstappen, vakantieverblijven, … We voeren een gelijkekansenbeleid en vinden o.a. equal pay belangrijk. Solliciteren IT - Business & Functional Analysis Functional Analyst Functional Analyst Security IT Analyst Innovation & Synergy Senior Functional Analyst Search modal Zoeken",smals_web,2026-09-25T15:23:23.874431+00:00,True,5,Master's or equivalent experience,"Dutch, French","sql, datawarehouse, data quality, data governance",databricks,55,"Functional / Business Data Analysis; matched: sql, datawarehouse, data quality, data governance; potential gaps: databricks; requires 5+ years; Master's or equivalent experience",passed,
Data Engineer - Data & AI,Data Engineering (stretch),Cegeka,"At customer site, BE / Flexible, BE",,,Professional,https://www.cegeka.com/en/be/jobs/all-jobs/data-engineer-data-ai-6536,Data Engineer - Data & AI,cegeka_web,2026-09-25T15:23:23.874431+00:00,True,,not specified,,,,48,Data Engineering (stretch),passed,
